item,itemLabel,url
http://www.wikidata.org/entity/Q571947,Landkreis Bautzen,http://www.landkreis-bautzen.de/
http://www.wikidata.org/entity/Q2839,Kreis Warendorf,http://www.kreis-warendorf.de/
http://www.wikidata.org/entity/Q2876,Landkreis Nordwestmecklenburg,http://www.nordwestmecklenburg.de
http://www.wikidata.org/entity/Q2898,Landkreis Rostock,https://www.landkreis-rostock.de/
http://www.wikidata.org/entity/Q2902,Landkreis Mecklenburgische Seenplatte,http://www.lk-mecklenburgische-seenplatte.de
http://www.wikidata.org/entity/Q2905,Landkreis Ludwigslust-Parchim,http://www.kreis-lup.de/
http://www.wikidata.org/entity/Q2909,Landkreis Vorpommern-Rügen,http://www.lk-vr.de
http://www.wikidata.org/entity/Q2917,Landkreis Vorpommern-Greifswald,https://www.kreis-vg.de
http://www.wikidata.org/entity/Q2937,Kreis Nordfriesland,http://www.nordfriesland.de/
http://www.wikidata.org/entity/Q2941,Kreis Schleswig-Flensburg,http://www.schleswig-flensburg.de
http://www.wikidata.org/entity/Q2947,Kreis Dithmarschen,http://www.dithmarschen.de
http://www.wikidata.org/entity/Q2967,Kreis Rendsburg-Eckernförde,https://www.kreis-rendsburg-eckernfoerde.de/
http://www.wikidata.org/entity/Q2970,Kreis Plön,http://www.kreis-ploen.de/
http://www.wikidata.org/entity/Q2975,Kreis Ostholstein,http://www.kreis-oh.de
http://www.wikidata.org/entity/Q2980,Kreis Segeberg,https://www.segeberg.de/
http://www.wikidata.org/entity/Q2980,Kreis Segeberg,http://www.kreis-segeberg.de/
http://www.wikidata.org/entity/Q3003,Kreis Stormarn,http://www.kreis-stormarn.de/
http://www.wikidata.org/entity/Q3000,Kreis Herzogtum Lauenburg,http://www.herzogtum-lauenburg.de
http://www.wikidata.org/entity/Q3006,Kreis Pinneberg,http://www.kreis-pinneberg.de/
http://www.wikidata.org/entity/Q3011,Kreis Steinburg,http://www.kreis-steinburg.de/
http://www.wikidata.org/entity/Q5897,Landkreis Cuxhaven,http://www.landkreis-cuxhaven.de/
http://www.wikidata.org/entity/Q5906,Landkreis Stade,http://www.landkreis-stade.de
http://www.wikidata.org/entity/Q5907,Landkreis Harburg,https://www.landkreis-harburg.de/
http://www.wikidata.org/entity/Q5910,Landkreis Lüneburg,http://www.landkreis-lueneburg.de
http://www.wikidata.org/entity/Q5915,Landkreis Uelzen,http://www.landkreis-uelzen.de/
http://www.wikidata.org/entity/Q5913,Landkreis Lüchow-Dannenberg,http://www.luechow-dannenberg.de/
http://www.wikidata.org/entity/Q5919,Landkreis Celle,http://www.landkreis-celle.de/
http://www.wikidata.org/entity/Q5922,Landkreis Heidekreis,https://www.heidekreis.de/
http://www.wikidata.org/entity/Q5923,Landkreis Rotenburg (Wümme),http://www.lk-row.de/
http://www.wikidata.org/entity/Q5926,Landkreis Osterholz,http://www.landkreis-osterholz.de/
http://www.wikidata.org/entity/Q5927,Landkreis Verden,http://www.landkreis-verden.de/
http://www.wikidata.org/entity/Q5931,Landkreis Wittmund,http://www.landkreis.wittmund.de/
http://www.wikidata.org/entity/Q5929,Landkreis Aurich,http://www.landkreis-aurich.de/
http://www.wikidata.org/entity/Q5934,Landkreis Leer,http://www.landkreis-leer.de/
http://www.wikidata.org/entity/Q5932,Landkreis Friesland,http://www.friesland.de
http://www.wikidata.org/entity/Q5939,Landkreis Grafschaft Bentheim,https://www.grafschaft-bentheim.de/
